country	year	Life Ladder	GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Confidence in government
CZE	2012	6.334	10.259	0.912	69.067	0.740	-0.161	0.957	0.170
CZE	2013	6.698	10.253	0.888	69.155	0.726	-0.163	0.916	0.243
CZE	2014	6.484	10.279	0.878	69.729	0.800	-0.175	0.897	0.340
CZE	2015	6.608	10.329	0.911	70.303	0.808	-0.153	0.886	0.435
CZE	2016	6.736	10.353	0.931	70.877	0.850	-0.205	0.900	0.415
CZE	2017	6.790	10.393	0.901	71.451	0.832	-0.185	0.867	0.344
DNK	2005	8.019	10.705	0.972	68.113	0.971		0.237	0.669
DNK	2007	7.834	10.744	0.954	68.421	0.932	0.229	0.206	0.593
DNK	2008	7.971	10.733	0.954	68.641	0.970	0.261	0.248	0.666
DNK	2009	7.683	10.678	0.939	68.773	0.949	0.252	0.206	0.627
DNK	2010	7.771	10.692	0.975	69.213	0.944	0.231	0.175	0.587
DNK	2011	7.788	10.701	0.962	69.825	0.935	0.286	0.220	0.472
DNK	2012	7.520	10.700	0.951	70.045	0.933	0.128	0.187	0.534
DNK	2013	7.589	10.705	0.965	70.262	0.920	0.204	0.170	0.391
DNK	2014	7.508	10.716	0.956	70.613	0.942	0.107	0.237	0.458
DNK	2015	7.514	10.725	0.960	70.963	0.941	0.211	0.191	0.580
DNK	2016	7.558	10.736	0.954	71.313	0.948	0.128	0.210	0.468
DNK	2017	7.594	10.749	0.952	71.662	0.955	0.145	0.181	0.572
DJI	2008	5.009	7.827	0.690	50.575	0.773	0.145	0.576	0.668
DJI	2009	4.906	7.859	0.901	51.019	0.649	0.005	0.634	0.604
DJI	2010	5.006	7.877		51.460	0.764	-0.067	0.597	0.692
DJI	2011	4.369	7.903	0.633	51.876	0.746	-0.064	0.519	0.678
DOM	2006	5.088	9.167	0.919	61.642	0.858	0.036	0.755	0.637
DOM	2007	5.081	9.236	0.848	61.825	0.886	-0.011	0.772	0.485
DOM	2008	4.842	9.254	0.850	62.004	0.848	-0.048	0.728	0.538
DOM	2009	5.432	9.250	0.878	62.181	0.863	-0.056	0.806	0.410
DOM	2010	4.735	9.317	0.860	62.353	0.824	-0.078	0.780	0.450
DOM	2011	5.397	9.334	0.872	62.521	0.848	0.011	0.788	0.410
DOM	2012	4.753	9.349	0.879	62.687	0.840	-0.065	0.727	0.432
DOM	2013	5.016	9.383	0.878	62.852	0.889	0.017	0.752	0.571
DOM	2014	5.387	9.445	0.891	63.014	0.905	-0.025	0.760	0.557
DOM	2015	5.062	9.501	0.893	63.175	0.856	-0.070	0.755	0.447
DOM	2016	5.239	9.554	0.895	63.335	0.873	-0.085	0.737	0.549
DOM	2017	5.605	9.595	0.894	63.496	0.855	-0.127	0.760	0.460
ECU	2006	5.024	9.087	0.910	65.402	0.671	-0.096	0.901	0.121
ECU	2007	4.996	9.092	0.839	65.557	0.670	-0.068	0.830	0.475
ECU	2008	5.297	9.136	0.829	65.710	0.640	-0.099	0.801	0.515
ECU	2009	6.022	9.125	0.779	65.867	0.737	-0.113	0.774	0.535
ECU	2010	5.838	9.143	0.839	66.029	0.723	-0.068	0.806	0.410
ECU	2011	5.795	9.203	0.818	66.202	0.788	-0.160	0.702	0.594
ECU	2012	5.961	9.242	0.785	66.381	0.825	-0.089	0.730	0.637
ECU	2013	6.019	9.275	0.801	66.566	0.787	-0.196	0.646	0.621
ECU	2014	5.946	9.297	0.831	66.757	0.719	-0.173	0.661	0.648
ECU	2015	5.964	9.283	0.856	66.952	0.801	-0.120	0.666	0.522
ECU	2016	6.115	9.252	0.842	67.147	0.846	-0.021	0.774	0.474
ECU	2017	5.840	9.223	0.849	67.342	0.879	-0.170	0.734	0.641
EGY	2005	5.168	8.987	0.848	59.646	0.817			
EGY	2007	5.541	9.087	0.686	59.951	0.609	-0.129		
EGY	2008	4.632	9.138	0.738	60.109		-0.096	0.914	
EGY	2009	5.066	9.166	0.744	60.270	0.611	-0.109	0.801	
EGY	2010	4.669	9.196	0.769	60.434	0.486	-0.085	0.826	
EGY	2011	4.174	9.193	0.753	60.600	0.590	-0.161	0.859	0.632
EGY	2012	4.204	9.192	0.737	60.766	0.452	-0.147	0.880	0.602
EGY	2013	3.559	9.192	0.675	60.931	0.474	-0.150	0.913	0.292
EGY	2014	4.885	9.198	0.619	61.094	0.578	-0.136	0.749	0.704
EGY	2015	4.763	9.220	0.730	61.254	0.659	-0.098	0.684	0.772
EGY	2016	4.557	9.242	0.809	61.414	0.656	-0.151	0.818	0.619
EGY	2017	3.929	9.260	0.638	61.574	0.593	-0.162		
SLV	2006	5.701	8.881	0.878	61.669	0.683	-0.067	0.807	0.367
SLV	2007	5.296	8.914	0.717	61.932	0.639	-0.028	0.785	0.366
SLV	2008	5.191	8.923	0.747	62.195	0.636	-0.090	0.735	0.378
SLV	2009	6.839	8.886	0.734	62.456	0.671	-0.114	0.648	0.586
SLV	2010	6.740	8.896	0.757	62.711	0.669	-0.074	0.694	0.523
SLV	2011	4.741	8.913	0.731	62.961	0.747	-0.136	0.707	0.490
SLV	2012	5.934	8.927	0.806	63.203	0.683	-0.164	0.786	0.312
SLV	2013	6.325	8.941	0.827	63.436	0.716	-0.158	0.772	0.359
SLV	2014	5.857	8.950	0.798	63.661	0.778	-0.203	0.781	0.316
SLV	2015	6.018	8.968	0.791	63.878	0.733	-0.165	0.805	0.307
SLV	2016	6.140	8.986	0.794	64.095	0.800	-0.193	0.797	0.252
SLV	2017	6.339	9.001	0.829	64.311	0.758	-0.180	0.778	0.270
EST	2006	5.371	10.139	0.910	63.251	0.749	-0.273	0.797	0.442
EST	2007	5.332	10.218	0.896	63.358	0.712	-0.255	0.743	0.420
EST	2008	5.452	10.165	0.904	64.190	0.642	-0.226	0.663	0.331
EST	2009	5.138	10.007	0.874	65.107	0.611	-0.238	0.793	0.224
EST	2011	5.487	10.108	0.909	66.329	0.735	-0.176	0.687	0.418
EST	2012	5.364	10.154	0.889	66.414	0.697	-0.201	0.793	0.273
EST	2013	5.367	10.177	0.901	67.123	0.754	-0.211	0.726	0.261
EST	2014	5.556	10.208	0.917	67.030	0.773	-0.163	0.652	0.415
EST	2015	5.629	10.224	0.918	67.115	0.815	-0.174	0.569	0.337
EST	2016	5.650	10.243	0.938	67.199	0.843	-0.159	0.639	0.340
EST	2017	5.938	10.286	0.936	67.284	0.862	-0.110	0.668	0.406
ETH	2012	4.561	7.115	0.659	54.354	0.776	-0.033		
ETH	2013	4.445	7.190	0.602	54.935	0.707	0.003	0.750	0.775
ETH	2014	4.507	7.262	0.640	55.436	0.694	0.090	0.702	0.682
ETH	2015	4.573	7.335	0.626	55.867	0.803	0.122	0.567	0.826
ETH	2016	4.298	7.383	0.719	56.297	0.744	0.049	0.703	0.749
ETH	2017	4.180	7.439	0.734	56.728	0.717	0.012	0.757	0.768
FIN	2006	7.672	10.610	0.965	69.435	0.969	-0.016	0.132	0.758
FIN	2008	7.671	10.659	0.951	69.745	0.934	0.016	0.217	0.723
FIN	2010	7.393	10.593	0.935	70.010	0.916	0.080	0.413	0.462
FIN	2011	7.354	10.614	0.938	70.536	0.936	0.090	0.320	0.565
FIN	2012	7.420	10.594	0.928	70.673	0.921	-0.012	0.361	0.598
FIN	2013	7.445	10.582	0.941	70.979	0.919	0.029	0.306	0.421
FIN	2014	7.385	10.572	0.952	71.158	0.933	-0.012	0.265	0.469
FIN	2015	7.448	10.568	0.948	71.338	0.930	0.101	0.223	0.558
FIN	2016	7.660	10.585	0.954	71.517	0.948	-0.037	0.250	0.486
FIN	2017	7.788	10.612	0.964	71.697	0.962	-0.012	0.192	0.598
FRA	2005	7.093	10.506	0.940	70.387	0.895		0.688	0.325
FRA	2006	6.583	10.522	0.944	70.957	0.789	0.115	0.699	0.361
FRA	2008	7.008	10.536	0.935	71.310	0.833	-0.042	0.669	0.453
FRA	2009	6.283	10.501	0.918	71.486	0.798	-0.092	0.654	0.474
FRA	2010	6.798	10.515	0.943	71.704	0.850	-0.114	0.623	0.401
FRA	2011	6.959	10.531	0.921	72.101	0.903	-0.113	0.627	0.375
FRA	2012	6.649	10.528	0.937	71.972	0.841	-0.160	0.608	0.441
FRA	2013	6.667	10.529	0.908	72.193	0.878	-0.135	0.699	0.395
FRA	2014	6.467	10.533	0.878	72.589	0.803	-0.129	0.656	0.264
FRA	2015	6.358	10.539	0.896	72.589	0.817	-0.150	0.641	0.328
FRA	2016	6.475	10.547	0.885	72.589	0.787	-0.102	0.623	0.284
FRA	2017	6.635	10.561	0.931	72.589	0.834	-0.134	0.601	0.375
GAB	2011	4.255	9.674	0.653	54.419	0.772	-0.232	0.851	0.535
GAB	2012	3.972	9.690	0.736	54.939	0.566	-0.216	0.810	0.365
GAB	2013	3.800	9.711	0.733	55.432	0.682	-0.166	0.780	0.412
GAB	2014	3.918	9.722	0.829	55.888	0.607	-0.219	0.782	0.319
GAB	2015	4.661	9.731	0.756	56.301	0.671	-0.215	0.867	0.370
GAB	2016	4.832	9.728	0.780	56.714	0.699	-0.226	0.817	0.378
GAB	2017	4.782	9.716	0.807	57.126	0.652	-0.251	0.868	0.287
GEO	2006	3.675	8.600	0.647	63.720	0.553	-0.248	0.752	0.463
GEO	2007	3.707	8.730	0.548	63.704	0.464	-0.249	0.697	0.328
GEO	2008	4.156	8.765	0.608	63.685	0.614	-0.207	0.498	0.507
GEO	2009	3.801	8.741	0.544	63.673	0.495	-0.216	0.535	0.426
GEO	2010	4.102	8.815	0.540	63.681	0.558	-0.232	0.460	0.616
GEO	2011	4.203	8.898	0.503	63.714	0.632	-0.240	0.353	0.657
GEO	2012	4.254	8.972	0.533	63.773	0.659	-0.254	0.321	0.611
GEO	2013	4.349	9.018	0.559	63.857	0.722	-0.240	0.349	0.634
GEO	2014	4.288	9.077	0.558	63.964	0.720	-0.221	0.416	0.528
GEO	2015	4.122	9.108	0.517	64.092	0.640	-0.193	0.502	0.254
GEO	2016	4.448	9.135	0.533	64.220	0.606	-0.237	0.561	0.345
GEO	2017	4.451	9.169	0.590	64.347	0.821	-0.231	0.590	0.296
DEU	2005	6.620	10.538	0.963	69.187	0.847		0.781	0.322
DEU	2007	6.417	10.608	0.926	69.715	0.801	0.157	0.792	0.350
DEU	2008	6.522	10.621	0.923	69.893	0.766		0.758	0.358
DEU	2009	6.641	10.566	0.935	69.980	0.844	0.117	0.690	0.519
DEU	2010	6.725	10.607	0.939	70.113	0.843	0.085	0.688	0.395
DEU	2011	6.621	10.662	0.947	70.506	0.906	0.022	0.677	0.425
DEU	2012	6.702	10.665	0.926	70.596	0.904	0.060	0.679	0.517
DEU	2013	6.965	10.667	0.931	70.553	0.894	0.014	0.566	0.558
DEU	2014	6.984	10.682	0.938	71.079	0.899	0.077	0.474	0.601
DEU	2015	7.037	10.691	0.926	71.079	0.889	0.167	0.412	0.628
DEU	2016	6.874	10.698	0.906	71.079	0.871	0.138	0.446	0.553
DEU	2017	7.074	10.711	0.892	71.079	0.841	0.135	0.414	0.623
GHA	2006	4.535	7.876	0.728	51.519	0.849	0.223	0.814	0.641
GHA	2007	5.220	7.892	0.730	51.948	0.891	0.147	0.771	0.722
GHA	2008	4.965	7.953	0.622	52.350	0.838	0.129	0.863	0.666
GHA	2009	4.198	7.975	0.633	52.714	0.757	0.014	0.890	0.682
GHA	2010	4.606	8.026	0.739	53.036	0.891	0.082	0.875	0.747
GHA	2011	5.608	8.133	0.724	53.321	0.852	0.019	0.790	0.683
GHA	2012	5.057	8.198	0.685	53.586	0.679	0.048	0.898	0.577
GHA	2013	4.965	8.245	0.676	53.844	0.794	-0.058	0.880	0.486
GHA	2014	3.860	8.261	0.651	54.099	0.677	0.008	0.913	0.341
GHA	2015	3.986	8.276	0.687	54.355	0.852	-0.033	0.945	0.442
GHA	2016	4.514	8.289	0.647	54.610	0.751	0.095	0.894	0.517
GHA	2017	5.481	8.327	0.669	54.866	0.783	0.085	0.839	0.670
GRC	2005	6.006	10.294	0.837	69.456	0.734		0.861	0.488
GRC	2007	6.647	10.376	0.808	69.632	0.575	-0.198	0.845	0.381
GRC	2009	6.039	10.323	0.793	70.288	0.443	-0.300	0.959	0.316
GRC	2010	5.840	10.266	0.868	70.463	0.484	-0.310	0.954	0.237
GRC	2011	5.372	10.171	0.852	70.765	0.528	-0.323	0.941	0.175
GRC	2012	5.096	10.101	0.812	70.679	0.373	-0.311	0.959	0.126
GRC	2013	4.720	10.075	0.687	71.250	0.426	-0.278	0.941	0.144
GRC	2014	4.756	10.089	0.832	71.383	0.369	-0.294	0.930	0.188
GRC	2015	5.623	10.093	0.835	71.515	0.532	-0.278	0.824	0.437
GRC	2016	5.303	10.097	0.803	71.648	0.482	-0.266	0.898	0.132
GRC	2017	5.148	10.118	0.753	71.780	0.438	-0.297	0.872	0.140
GTM	2006	5.901	8.773	0.830	60.257	0.663	0.168	0.706	0.385
GTM	2007	6.330	8.812	0.866	60.541	0.628	0.131	0.810	0.299
GTM	2008	6.414	8.822	0.866	60.838	0.630	0.201	0.796	0.322
GTM	2009	6.452	8.805	0.834	61.150	0.643	0.192	0.755	0.339
GTM	2010	6.290	8.812	0.859	61.471	0.696	0.162	0.795	0.340
GTM	2011	5.743	8.831	0.768	61.792	0.763	0.005	0.863	0.356
GTM	2012	5.856	8.839	0.802	62.102	0.865	0.017	0.821	0.502
GTM	2013	5.985	8.854	0.830	62.391	0.884	0.042	0.817	0.467
GTM	2014	6.536	8.875	0.834	62.656	0.843	0.104	0.804	0.373
GTM	2015	6.465	8.895	0.823	62.898	0.869	0.048	0.822	0.272
GTM	2016	6.359	8.905	0.811	63.140	0.863	0.008	0.812	0.469
GTM	2017	6.325	8.919	0.826	63.382	0.915	-0.062	0.800	0.459
GIN	2011	4.045	7.394	0.598	48.375	0.797	0.051	0.743	0.768
GIN	2012	3.652	7.429	0.542	48.798	0.646	0.012	0.794	0.557
GIN	2013	3.902	7.445	0.567	49.236	0.693	0.101	0.815	0.523
GIN	2014	3.412	7.459	0.638	49.697	0.684	0.016	0.705	0.571
GIN	2015	3.505	7.469	0.579	50.182	0.666	0.017	0.762	0.610
GIN	2016	3.603	7.508	0.675	50.667	0.726	-0.043	0.803	0.466
GIN	2017	4.874	7.527	0.634	51.152	0.738	0.054	0.750	0.640
GUY	2007	5.993	8.577	0.849	57.404	0.694	0.115	0.836	0.465
HTI	2006	3.754	7.360	0.694	49.962	0.449	0.403	0.854	0.357
HTI	2008	3.846	7.371	0.679	50.664	0.465	0.263	0.812	0.237
HTI	2010	3.766	7.315	0.554	51.374	0.373	0.219	0.848	0.156
HTI	2011	4.845	7.354	0.567	51.711	0.413	0.246	0.682	0.457
HTI	2012	4.413	7.368	0.749	52.029	0.482	0.293	0.717	0.367
HTI	2013	4.622	7.396	0.648	52.325	0.610	0.293	0.669	0.355
HTI	2014	3.889	7.410	0.554	52.598	0.509	0.288	0.708	0.325
HTI	2015	3.570	7.409	0.564	52.848	0.398	0.309	0.777	0.297
HTI	2016	3.352	7.411	0.584	53.097	0.304	0.294	0.839	0.146
HTI	2017	3.824	7.403	0.647	53.347	0.484	0.385	0.647	0.435
HND	2006	5.397	8.256	0.933	61.987	0.650	0.097	0.844	0.440
HND	2007	5.097	8.295	0.819	62.149	0.676	0.238	0.826	0.336
HND	2008	5.420	8.315	0.828	62.306	0.687	0.231	0.863	0.288
HND	2009	6.033	8.270	0.824	62.459	0.661	0.126	0.857	0.287
HND	2010	5.866	8.287	0.803	62.612	0.646	0.113	0.820	0.303
HND	2011	4.961	8.306	0.766	62.766	0.783	0.103	0.884	0.293
HND	2012	4.602	8.328	0.779	62.922	0.700	0.004	0.871	0.263
HND	2013	4.713	8.337	0.792	63.083	0.698	-0.020	0.868	0.253
HND	2014	5.056	8.350	0.790	63.247	0.696	0.022	0.834	0.330
HND	2015	4.845	8.369	0.772	63.416	0.534	-0.090	0.848	0.297
HND	2016	5.648	8.388	0.774	63.584	0.850	0.087	0.793	0.389
HND	2017	6.020	8.404	0.843	63.753	0.898	0.080	0.783	0.496
HKG	2006	5.511	10.681	0.812	74.284	0.910	0.139	0.356	0.664
HKG	2008	5.137	10.750	0.840	74.284	0.922	0.279	0.274	0.677
HKG	2009	5.397	10.723	0.835	74.645	0.918	0.290	0.272	0.619
HKG	2010	5.643	10.781	0.857	74.827	0.890	0.314	0.256	0.635
HKG	2011	5.474	10.821	0.846	75.228	0.894	0.217	0.245	0.585
HKG	2012	5.484	10.827	0.826	75.280	0.880	0.205	0.380	0.498
HKG	2014	5.458	10.872	0.834	75.731	0.843	0.206	0.423	0.458
HKG	2016	5.498	10.902	0.832	76.268	0.800	0.082	0.403	0.450
HKG	2017	5.362	10.917	0.831	76.536	0.831	0.123	0.416	0.545
HUN	2005	5.194	10.019	0.930	63.931	0.697		0.903	0.361
HUN	2007	4.954	10.064	0.931	64.373	0.538	-0.172	0.895	0.250
HUN	2009	4.895	10.008	0.901	65.036	0.464	-0.136	0.915	0.200
HUN	2010	4.725	10.017	0.896	65.302	0.514	-0.156	0.983	0.252
HUN	2011	4.918	10.036	0.894	65.876	0.631	-0.100	0.940	0.360
HUN	2012	4.683	10.025	0.906	66.056	0.569	-0.147	0.930	0.210
HUN	2013	4.914	10.048	0.877	66.498	0.674	-0.124	0.912	0.328
HUN	2014	5.181	10.093	0.845	66.672	0.494	-0.161	0.855	0.308
HUN	2015	5.344	10.128	0.859	66.846	0.558	-0.209	0.908	0.279
HUN	2016	5.449	10.152	0.900	67.020	0.554	-0.198	0.924	0.304
HUN	2017	6.065	10.193	0.877	67.193	0.661	-0.151	0.886	0.378
ISL	2008	6.888	10.677	0.977	71.657	0.885	0.263	0.708	0.238
ISL	2012	7.591	10.590	0.979	72.805	0.905	0.234	0.759	0.257
ISL	2013	7.501	10.624	0.967	72.054	0.923	0.298	0.713	0.457
ISL	2015	7.498	10.661	0.980	72.756	0.940	0.293	0.639	0.427
ISL	2016	7.510	10.721	0.985	72.756	0.952	0.272	0.719	0.364
ISL	2017	7.476	10.760	0.967	72.756	0.939	0.235	0.727	0.365
IND	2006	5.348	8.137	0.707	56.111	0.774		0.855	0.649
IND	2007	5.027	8.216	0.569	56.473	0.729	-0.059	0.862	0.817
IND	2008	5.146	8.239	0.684	56.836	0.756	-0.080	0.891	0.616
IND	2009	4.522	8.306	0.653	57.199	0.679	-0.035	0.895	0.698
IND	2010	4.989	8.390	0.605	57.553	0.783	0.047	0.863	0.667
IND	2011	4.635	8.442	0.553	57.891	0.838	-0.050	0.908	0.580
IND	2012	4.720	8.482	0.511	58.209	0.609	0.055	0.830	0.539
IND	2013	4.428	8.532	0.553	58.502	0.740	0.072	0.832	0.533
IND	2014	4.424	8.592	0.621	58.770	0.809	-0.039	0.832	0.734
IND	2015	4.342	8.658	0.610	59.015	0.777	-0.018	0.776	0.695
IND	2016	4.179	8.715	0.614	59.259	0.820	0.033	0.765	0.732
IND	2017	4.046	8.768	0.607	59.503	0.886	-0.055	0.781	0.839
IDN	2006	4.947	8.868	0.771	58.829	0.713	0.336	0.915	0.595
IDN	2007	5.101	8.916	0.704	59.005	0.603	0.299	0.960	0.525
IDN	2008	4.815	8.961	0.675	59.178	0.596	0.152	0.968	0.665
IDN	2009	5.472	8.993	0.779	59.348	0.784	0.178	0.911	0.811
IDN	2010	5.457	9.040	0.816	59.514	0.700	0.435	0.954	0.641
IDN	2011	5.173	9.087	0.825	59.675	0.878	0.425	0.962	0.739
IDN	2012	5.368	9.133	0.834	59.832	0.770	0.341	0.962	0.673
IDN	2013	5.292	9.174	0.794	59.987	0.781	0.362	0.973	0.684
IDN	2014	5.597	9.211	0.905	60.139	0.719	0.394	0.970	0.654
IDN	2015	5.043	9.246	0.809	60.287	0.779	0.457	0.946	0.645
IDN	2016	5.136	9.284	0.792	60.436	0.830	0.485	0.890	0.801
IDN	2017	5.098	9.322	0.796	60.584	0.865	0.473	0.900	0.826
IRN	2005	5.308	9.656	0.766	62.210	0.651		0.636	0.555
IRN	2007	5.336	9.761	0.718	62.844	0.533	0.021	0.872	0.495
IRN	2008	5.129	9.752	0.633	63.198	0.601	0.018	0.868	0.561
IRN	2011	4.768	9.809	0.582	64.341	0.798	0.165	0.665	0.804
IRN	2012	4.609	9.719	0.600	64.694	0.764		0.678	0.719
IRN	2013	5.140	9.704	0.664	65.008	0.730	0.181	0.685	0.687
IRN	2014	4.682	9.736	0.644	65.278	0.767	0.206	0.640	0.745
IRN	2015	4.750	9.711	0.572	65.507	0.780	0.142	0.699	0.753
IRN	2016	4.653	9.825	0.566	65.736	0.773	0.150	0.713	0.709
IRN	2017	4.717	9.853	0.714	65.965	0.731	0.183	0.715	
IRQ	2008	4.590	9.411	0.744	59.444	0.386	-0.100	0.910	0.476
IRQ	2009	4.775	9.417	0.862	59.529	0.431	-0.238	0.854	0.493
IRQ	2010	5.065	9.451	0.854	59.677	0.419	-0.163	0.859	0.341
IRQ	2011	4.725	9.493	0.751	59.871	0.347	-0.108	0.780	0.367
IRQ	2012	4.660	9.591	0.730	60.086	0.315	-0.060	0.789	0.340
IRQ	2013	4.725	9.621	0.728	60.299		-0.089	0.710	0.501
IRQ	2014	4.542	9.595	0.725	60.499	0.646	-0.041	0.726	0.513
IRQ	2015	4.493	9.611	0.684	60.682	0.599	-0.022	0.762	0.435
IRQ	2016	4.413	9.686	0.719	60.864	0.666	-0.091	0.799	0.419
IRQ	2017	4.462	9.623	0.695	61.046	0.628	-0.038	0.757	0.424
IRL	2006	7.144	10.776	0.967	69.459	0.943	0.234	0.473	0.633
IRL	2008	7.568	10.738	0.983	70.207	0.894	0.314	0.487	0.514
IRL	2009	7.046	10.680	0.959	70.290	0.835	0.307	0.580	0.293
IRL	2010	7.257	10.693	0.973	70.776	0.856	0.340	0.618	0.333
IRL	2011	7.007	10.718	0.977	70.778	0.952	0.373	0.590	0.529
IRL	2012	6.965	10.717	0.962	70.865	0.902	0.292	0.573	0.346
IRL	2013	6.760	10.730	0.955	71.000	0.884	0.321	0.558	0.285
IRL	2014	7.018	10.806	0.968	71.306	0.922	0.252	0.406	0.460
IRL	2015	6.830	11.021	0.953	71.440	0.892	0.220	0.409	0.572
IRL	2016	7.041	11.051	0.958	71.575	0.875	0.161	0.399	0.575
IRL	2017	7.060	11.066	0.943	71.710	0.905	0.207	0.337	0.604
ISR	2006	7.173	10.228	0.927	70.730	0.817		0.905	0.342
ISR	2007	6.841	10.266	0.868	70.687	0.683	0.212	0.868	0.218
ISR	2008	7.261	10.278	0.859	71.079	0.663	0.131	0.898	0.184
ISR	2009	7.353	10.268	0.937	71.477	0.593	0.164	0.923	0.404
ISR	2010	7.359	10.300	0.882	71.651	0.561	0.142	0.902	0.449
ISR	2011	7.433	10.327	0.893	71.698	0.722	0.133	0.891	0.271
ISR	2012	7.111	10.328	0.903	71.741	0.681	0.145	0.862	0.344
ISR	2013	7.321	10.350	0.909	72.049	0.739	0.143	0.849	0.451
ISR	2014	7.401	10.364	0.889	72.135	0.707	0.086	0.818	0.444
ISR	2015	7.079	10.374	0.864	72.045	0.753	0.100	0.789	0.405
ISR	2016	7.159	10.395	0.890	71.955	0.772	0.145	0.804	0.438
ISR	2017	7.331	10.406	0.916	71.865	0.768	0.137	0.793	0.389
ITA	2005	6.854	10.535	0.928	71.050	0.802		0.944	0.239
ITA	2007	6.574	10.561	0.912	71.623	0.684	0.104	0.922	0.303
ITA	2008	6.780	10.544	0.880	71.668	0.543	0.040	0.946	0.363
ITA	2009	6.334	10.483	0.880	71.801	0.701	0.232	0.890	0.400
ITA	2010	6.354	10.497	0.872	72.153	0.738	-0.068	0.921	0.334
ITA	2011	6.057	10.501	0.913	72.286	0.568	-0.026	0.933	0.260
ITA	2012	5.839	10.470	0.869	72.331	0.570	0.105	0.908	0.281
ITA	2013	6.009	10.441	0.916	72.728	0.499	-0.110	0.943	0.146
ITA	2014	6.027	10.433	0.898	73.079	0.624	-0.073	0.920	0.309
ITA	2015	5.848	10.443	0.909	73.431	0.575	-0.073	0.913	0.261
ITA	2016	5.955	10.455	0.927	73.783	0.624	-0.089	0.903	0.238
ITA	2017	6.199	10.472	0.920	74.135	0.633	-0.043	0.867	0.230
CIV	2009	4.197	7.900	0.667	43.319	0.760	-0.136	0.902	0.424
CIV	2013	3.739	7.965	0.709	45.146	0.739	-0.014	0.691	0.572
CIV	2014	3.570	8.024	0.711	45.607	0.781	-0.063	0.671	0.630
CIV	2015	4.445	8.084	0.704	46.068	0.800	-0.037	0.744	0.644
CIV	2016	4.543	8.139	0.617	46.529	0.769	-0.028	0.757	0.715
CIV	2017	5.038	8.181	0.661	46.990	0.732	-0.095	0.771	0.517
JAM	2006	6.208	9.060	0.909	63.754	0.738	-0.004	0.946	0.176
JAM	2011	5.374	9.000	0.855	64.939	0.796	-0.063	0.909	0.365
JAM	2013	5.709	8.990	0.865	65.289	0.793	-0.021	0.931	0.292
JAM	2014	5.311	8.994	0.874	65.434	0.809	0.000	0.861	0.280
JAM	2017	5.890	9.026	0.913	65.819	0.861	-0.131	0.883	0.348
JPN	2005	6.516	10.482	0.928	73.147	0.868		0.699	0.350
JPN	2007	6.238	10.510	0.938	73.667	0.796	-0.107	0.809	0.240
JPN	2008	5.911	10.499	0.887	73.739	0.772	-0.152	0.816	0.221
JPN	2009	5.845	10.443	0.888	74.046	0.730	-0.227	0.740	0.252
JPN	2010	6.057	10.484	0.902	73.967	0.772	-0.157	0.770	0.270
JPN	2011	6.263	10.485	0.917	73.742	0.814	-0.069	0.734	0.231
JPN	2012	5.968	10.501	0.905	74.193	0.753		0.692	0.169
JPN	2013	5.959	10.523	0.924	74.404	0.821	-0.164	0.650	0.358
JPN	2014	5.923	10.527	0.900	74.632	0.838	-0.156	0.617	0.380
JPN	2015	5.880	10.541	0.923	74.860	0.832	-0.172	0.654	0.353
JPN	2016	5.955	10.552	0.900	75.089	0.836	-0.080	0.698	0.362
JPN	2017	5.911	10.568	0.882	75.317	0.849	-0.223	0.659	0.412
JOR	2005	6.295	9.082	0.920	62.823			0.670	0.800
JOR	2007	5.598	9.158	0.841	63.102	0.646	-0.113	0.664	0.772
JOR	2008	4.930	9.181	0.766	63.241		-0.128	0.709	
JOR	2009	6.000	9.185	0.899	63.378	0.771	-0.076	0.739	
JOR	2010	5.570	9.156	0.918	63.514	0.788	-0.047		
JOR	2011	5.539	9.129	0.878	63.649	0.760	-0.143		
JOR	2012	5.132	9.101	0.829	63.781	0.693	-0.161		
JOR	2013	5.172	9.078	0.840	63.911	0.692	-0.117		
JOR	2014	5.333	9.062	0.816	64.039	0.729	-0.104		
JOR	2015	5.405	9.047	0.830	64.165	0.767	-0.046		
JOR	2016	5.271	9.035	0.820	64.292	0.771	-0.038		
JOR	2017	4.808	9.025	0.815	64.418	0.766	-0.152		
KAZ	2006	5.476	9.772	0.872	58.377	0.731	-0.288	0.865	0.733
KAZ	2007	5.719	9.846	0.861	58.681	0.806	-0.260	0.865	0.711
KAZ	2008	5.886	9.866	0.839	59.137	0.727	-0.235	0.899	0.687
KAZ	2009	5.383	9.852	0.893	60.379	0.856	-0.264	0.845	0.711
KAZ	2010	5.514	9.908	0.904	60.261	0.785	-0.230	0.823	0.706
KAZ	2011	5.736	9.965	0.905	60.865	0.878	-0.250	0.802	0.716
KAZ	2012	5.759	9.998	0.892	61.421	0.840	-0.186	0.877	0.726
KAZ	2013	5.835	10.042	0.889	62.162	0.782	-0.245	0.820	0.662
KAZ	2014	5.970	10.068	0.795	63.194	0.799	-0.012	0.805	0.604
KAZ	2015	5.950	10.066	0.931	63.529	0.740	-0.053	0.714	0.816
KAZ	2016	5.534	10.062	0.928	63.865	0.783	-0.052	0.702	0.760
KAZ	2017	5.882	10.072	0.914	64.200	0.745	-0.049	0.755	0.756
